 , , , Trace File ,,,,
, History Time Limit ,1,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,
0,25996,16335,646,182,182,182,0.021003231
0.01,25996,16335,646,182,182,182,0.021003231
0.02,25996,16335,646,182,182,182,0.021003231
0.03,25996,16335,646,182,182,182,0.021003231
0.04,25996,16335,646,182,182,182,0.021003231
0.05,25996,16335,646,182,182,182,0.021003231
0.06,25996,16335,646,182,182,182,0.021003231
0.07,25996,16335,646,182,182,182,0.021003231
0.08,25996,16335,646,182,182,182,0.021003231
0.09,25996,16335,646,182,182,182,0.021003231
0.1,25996,16335,646,182,182,182,0.021003231
0.11,25996,16335,646,182,182,182,0.021003231
0.12,25996,16335,646,182,182,182,0.021003231
0.13,25996,16335,646,182,182,182,0.021003231
0.14,25996,16335,646,182,182,182,0.021003231
0.15,24202,15887,662,167,167,167,0.020700769
0.16,35894,12433,693,165,165,165,0.013790606
0.17,21402,15303,739,150,150,150,0.021026072
0.18,30861,10600,760,180,180,180,0.017497813
0.19,33863,8940,761,127,127,127,0.011251218
0.2,25973,11034,1377,156,156,156,0.018018712
0.21,21569,11697,2737,155,155,155,0.021558719
0.22,15542,6807,647,94,94,94,0.018144383
0.23,29778,10926,10925,232,232,232,0.02337296
0.24,25363,6980,1365,97,97,97,0.011473406
0.25,59270,7731,7236,181,181,181,0.009161464
0.26,30193,5796,19960,239,239,239,0.023747226
0.27,30601,4162,22435,244,244,244,0.023920787
0.28,31186,3606,23629,248,248,248,0.023856859
0.29,30999,3390,23428,245,245,245,0.023710442
0.3,30370,2983,23326,242,242,242,0.02390517
0.31,30475,2752,23692,242,242,242,0.023822806
0.32,30095,2662,23472,237,237,237,0.023625187
0.33,30661,1839,24574,239,239,239,0.023384756
0.34,30901,2119,24898,244,244,244,0.023688554
0.35,30862,1613,25176,241,241,241,0.023426868
0.36,30938,1898,24963,242,242,242,0.023466287
0.37,30915,1456,25505,244,244,244,0.023677826
0.38,30592,1045,25647,238,238,238,0.023339435
0.39,30412,1017,25877,240,240,240,0.023674865
0.4,29078,734,25138,231,231,231,0.023832451
0.41,30772,804,26183,240,240,240,0.023397894
0.42,30680,516,26339,240,239,239,0.023402868
0.43,30650,686,26258,242,242,242,0.023686786
0.44,30655,514,26316,240,239,240,0.023454575
0.45,30729,489,26558,243,243,243,0.023723519
0.46,31307,598,26637,242,242,242,0.023189702
0.47,31439,555,26950,244,244,244,0.023283183
0.48,30752,498,26540,241,241,241,0.023510666
0.49,30225,599,26062,237,237,237,0.023523573
0.5,30095,389,26347,237,237,237,0.023625187
0.51,31069,415,26990,243,243,243,0.023463903
0.52,32468,384,27766,248,248,248,0.02291487
0.53,31625,306,27476,244,244,244,0.023146245
0.54,31709,265,27389,243,243,243,0.022990318
0.55,31845,216,27759,245,245,245,0.023080546
0.56,31477,207,27579,245,245,245,0.023350383
0.57,30548,181,26617,237,237,237,0.023274846
0.58,31850,189,27794,244,244,244,0.022982732
0.59,31101,129,27107,243,243,243,0.023439761
0.6,31336,107,27418,244,244,244,0.023359714
, History Time Limit ,2,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,25996,16335,646,182,182,182,0.021003231
0.01,25996,16335,646,182,182,182,0.021003231
0.02,25996,16335,646,182,182,182,0.021003231
0.03,25996,16335,646,182,182,182,0.021003231
0.04,25996,16335,646,182,182,182,0.021003231
0.05,25996,16335,646,182,182,182,0.021003231
0.06,25996,16335,646,182,182,182,0.021003231
0.07,25996,16335,646,182,182,182,0.021003231
0.08,25996,16335,646,182,182,182,0.021003231
0.09,25996,16335,646,182,182,182,0.021003231
0.1,25996,16335,646,182,182,182,0.021003231
0.11,25996,16335,646,182,182,182,0.021003231
0.12,25996,16335,646,182,182,182,0.021003231
0.13,25996,16335,646,182,182,182,0.021003231
0.14,25996,16335,646,182,182,182,0.021003231
0.15,23434,14342,686,148,148,148,0.018946829
0.16,35894,12433,693,165,165,165,0.013790606
0.17,25698,10672,702,163,163,163,0.019028718
0.18,19382,13005,1168,142,142,142,0.021979156
0.19,44401,8175,775,109,109,109,0.007364699
0.2,48787,9069,1854,126,126,126,0.007747966
0.21,49000,8853,2954,140,140,140,0.008571429
0.22,28183,11970,9259,206,206,206,0.021928113
0.23,20586,7319,705,121,121,121,0.017633343
0.24,28131,7147,11757,192,192,192,0.020475632
0.25,30887,6041,19900,243,243,243,0.023602163
0.26,30220,5257,20244,235,235,235,0.023328921
0.27,30426,3364,23003,241,241,241,0.023762571
0.28,30640,3061,23578,244,244,244,0.023890339
0.29,30212,3205,23060,238,238,238,0.023632994
0.3,30779,2735,23916,245,245,245,0.023879918
0.31,29895,2509,23365,237,237,237,0.023783241
0.32,30847,2071,24736,245,245,245,0.023827277
0.33,30951,2191,24805,244,244,244,0.023650286
0.34,31108,2067,25028,246,246,246,0.023723801
0.35,30869,1724,25004,242,242,242,0.02351874
0.36,30415,1514,24995,239,239,239,0.023573894
0.37,31096,961,26341,245,245,245,0.023636481
0.38,30772,1043,25896,241,241,241,0.023495385
0.39,30498,1001,25934,240,240,240,0.023608105
0.4,29304,712,25333,234,234,234,0.023955774
0.41,29786,709,25384,233,233,233,0.023467401
0.42,30766,601,26324,239,240,239,0.02333745
0.43,30072,536,25731,237,237,237,0.023643256
0.44,30781,572,26425,241,241,242,0.023521003
0.45,30821,625,26369,241,241,241,0.023458032
0.46,30984,751,26445,243,243,243,0.023528273
0.47,30829,584,26473,241,241,242,0.023484382
0.48,31214,630,26581,241,241,241,0.023162683
0.49,31376,463,27087,244,245,245,0.023393677
0.5,30276,347,26468,237,237,237,0.023483948
0.51,31155,383,27001,241,241,241,0.023206548
0.52,31446,233,27410,244,244,244,0.023278
0.53,31042,275,26944,241,241,241,0.023291025
0.54,30652,275,26753,240,240,240,0.023489495
0.55,31205,173,27501,244,244,244,0.023457779
0.56,30690,163,26956,238,238,238,0.023264907
0.57,30986,192,27035,239,239,239,0.023139482
0.58,30775,156,26951,237,237,237,0.023103168
0.59,30826,133,26837,238,238,238,0.023162266
0.6,31919,129,27661,244,244,244,0.022933049
, History Time Limit ,3,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,25996,16335,646,182,182,182,0.021003231
0.01,25996,16335,646,182,182,182,0.021003231
0.02,25996,16335,646,182,182,182,0.021003231
0.03,25996,16335,646,182,182,182,0.021003231
0.04,25996,16335,646,182,182,182,0.021003231
0.05,25996,16335,646,182,182,182,0.021003231
0.06,25996,16335,646,182,182,182,0.021003231
0.07,25996,16335,646,182,182,182,0.021003231
0.08,25996,16335,646,182,182,182,0.021003231
0.09,25996,16335,646,182,182,182,0.021003231
0.1,25996,16335,646,182,182,182,0.021003231
0.11,25996,16335,646,182,182,182,0.021003231
0.12,25996,16335,646,182,182,182,0.021003231
0.13,25996,16335,646,182,182,182,0.021003231
0.14,25996,16335,646,182,182,182,0.021003231
0.15,71219,11347,604,138,138,138,0.005813056
0.16,26589,17642,710,173,173,173,0.01951935
0.17,38296,10434,709,136,136,136,0.010653854
0.18,25420,15121,1144,167,167,167,0.019708891
0.19,20398,12455,1838,134,134,134,0.019707814
0.2,20926,10352,1526,144,144,144,0.020644175
0.21,52752,8781,2441,144,144,144,0.008189263
0.22,23542,8702,8032,173,173,173,0.022045706
0.23,20586,7319,705,121,121,121,0.017633343
0.24,31216,7294,19347,247,247,247,0.023737827
0.25,30961,5509,20719,245,245,245,0.023739543
0.26,31030,4789,21226,242,242,242,0.023396713
0.27,30322,3065,22878,237,237,237,0.023448321
0.28,30940,2814,24255,248,248,248,0.024046542
0.29,30616,2765,23819,242,242,242,0.023713091
0.3,30168,2545,23395,237,237,237,0.023568019
0.31,30792,2554,24008,243,243,243,0.023674981
0.32,30890,2171,24835,244,244,244,0.023696989
0.33,30686,2205,24457,243,243,243,0.023756762
0.34,31431,1598,25546,245,245,245,0.023384557
0.35,31461,1441,25807,245,245,245,0.023362258
0.36,30863,1441,25454,243,243,243,0.023620516
0.37,30745,1101,26066,245,245,245,0.023906326
0.38,30069,1024,25406,238,238,238,0.023745386
0.39,30981,985,26373,247,247,247,0.023917885
0.4,30589,914,25928,239,239,239,0.023439799
0.41,30511,599,26115,238,238,238,0.023401396
0.42,30932,594,26584,242,242,242,0.023470839
0.43,30693,442,26600,241,241,241,0.02355586
0.44,30781,572,26425,241,241,242,0.023521003
0.45,31206,549,26862,244,243,244,0.023424982
0.46,31215,518,26934,245,245,245,0.023546372
0.47,31159,508,27065,246,246,246,0.023684971
0.48,30709,468,26620,240,240,240,0.023445895
0.49,30932,777,26450,243,243,242,0.023535497
0.5,31354,332,27309,242,242,242,0.02315494
0.51,31251,316,27141,241,241,241,0.02313526
0.52,30926,231,27217,242,242,242,0.023475393
0.53,31353,302,27223,243,243,243,0.023251364
0.54,31657,214,27540,245,245,245,0.023217614
0.55,31639,285,27487,244,244,244,0.023136003
0.56,31104,186,27190,239,239,239,0.023051698
0.57,31213,180,27186,241,241,241,0.023163425
0.58,31195,141,27330,242,242,242,0.02327296
0.59,31002,82,27151,240,240,240,0.023224308
0.6,31043,93,27107,239,239,239,0.023096994
, History Time Limit ,4,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,25996,16335,646,182,182,182,0.021003231
0.01,25996,16335,646,182,182,182,0.021003231
0.02,25996,16335,646,182,182,182,0.021003231
0.03,25996,16335,646,182,182,182,0.021003231
0.04,25996,16335,646,182,182,182,0.021003231
0.05,25996,16335,646,182,182,182,0.021003231
0.06,25996,16335,646,182,182,182,0.021003231
0.07,25996,16335,646,182,182,182,0.021003231
0.08,25996,16335,646,182,182,182,0.021003231
0.09,25996,16335,646,182,182,182,0.021003231
0.1,25996,16335,646,182,182,182,0.021003231
0.11,25996,16335,646,182,182,182,0.021003231
0.12,25996,16335,646,182,182,182,0.021003231
0.13,25996,16335,646,182,182,182,0.021003231
0.14,25996,16335,646,182,182,182,0.021003231
0.15,71219,11347,604,138,138,138,0.005813056
0.16,26589,17642,710,173,173,173,0.01951935
0.17,38296,10434,709,136,136,136,0.010653854
0.18,22635,17142,741,186,186,186,0.024652087
0.19,30678,8967,1083,117,117,117,
0.2,24827,11644,1954,165,165,165,
0.21,27793,13134,6616,207,207,207,
0.22,46821,10626,7606,193,193,193,
0.23,20586,7319,705,121,121,121,
0.24,30154,6949,18362,238,238,238,
0.25,31055,5347,20868,244,244,244,
0.26,31048,4680,21491,243,243,243,
